Method,βc (mV/dec),βa (mV/dec),αc,αa,Icorr (µA),Rate (mmpy),R²_lin,RMSE_lin,R²_nl,RMSE_nl
LinC/LinA,176.72387961817464,162.13582330957726,0.33463023930526486,0.36473835899096707,47.19439657378902,1.4692602231210024,0.9951766253216572,0.031051053619907128,0.9183143927247959,0.16767077731204716
LinC/NlA,176.72387961817464,151.3161044071739,0.33463023930526486,0.39081863995423416,47.19439657378902,1.4692602231210024,0.885346058007134,0.1934306464712687,-1.1153370736509478,0.8308460858438952
NlC/NlA,225.02130320811997,201.67015179997136,0.26280691332095446,0.2932370189627288,86.9947284055591,2.7083277538607344,,,0.05712997297406397,0.56459153967059
JointC/NlA,163.32401023453443,150.33666010710476,0.36208487682039664,0.39336482588779975,37.83171914280164,1.177780502435211,,,0.9032600659796387,0.18084701480628051
