Working Electrode (V),Current (mA)
-0.264440835,0.314788631
-0.263429135,0.318859209
-0.262439787,0.324323657
-0.261455595,0.329446164
-0.260454416,0.332911179
-0.259461105,0.337662204
-0.258471549,0.342699088
-0.25747025,0.346984889
-0.256497383,0.351221883
-0.255523562,0.356009987
-0.254514128,0.361435086
-0.253516614,0.365819986
-0.252526999,0.371080299
-0.251534045,0.376697135
-0.250540107,0.382435101
-0.249541223,0.385466759
-0.248520941,0.391398673
-0.247520462,0.396446878
-0.246527702,0.401343685
-0.245547459,0.407931831
-0.244523704,0.411099289
-0.243573532,0.415901915
-0.242585912,0.429976935
-0.241584256,0.428198982
-0.240626991,0.43416032
-0.239641666,0.43966269
-0.238605633,0.445588637
-0.237625837,0.451159867
-0.236624956,0.457251241
-0.23561874,0.463754084
-0.234631285,0.470181927
-0.233652651,0.474222034
-0.232624903,0.480501971
-0.231678605,0.486416509
-0.230685845,0.492885825
-0.229689389,0.498349778
-0.22870627,0.504657684
-0.227724046,0.510459009
-0.226715088,0.516472617
-0.225759983,0.522913178
-0.224757239,0.529301236
-0.223736227,0.535405939
-0.222753152,0.541308778
-0.221791685,0.550560886
-0.220774427,0.553663005
-0.219807863,0.561103865
-0.218845099,0.567259151
-0.21782583,0.572702265
-0.216831475,0.578993058
-0.215834707,0.585739908
-0.214800268,0.59264712
-0.21381934,0.600366679
-0.212860882,0.606066082
-0.211868912,0.613396754
-0.21090889,0.621213112
-0.209947705,0.627688365
-0.208907411,0.63507742
-0.207920581,0.642610132
-0.206933707,0.649128342
-0.205887824,0.644254265
-0.204890624,0.663898769
-0.203930765,0.676128431
-0.202932417,0.679568038
-0.201988429,0.69032074
-0.201016918,0.695302908
-0.200025529,0.702834048
-0.199051782,0.71034854
-0.198045999,0.718242023
-0.197019935,0.726999599
-0.196021914,0.734093948
-0.195032716,0.743486511
-0.194015175,0.750387262
-0.19300878,0.758485869
-0.192051977,0.766588782
-0.191031963,0.77607861
-0.190051585,0.783832569
-0.189095125,0.791874889
-0.188081041,0.800351845
-0.187090814,0.808311859
-0.186113194,0.826051866
-0.185112327,0.825332187
-0.184108987,0.834002392
-0.183133215,0.842541922
-0.182116583,0.852270517
-0.181135595,0.86120161
-0.180199653,0.870181131
-0.179206133,0.879141327
-0.178227603,0.888389768
-0.177229211,0.897200836
-0.176214233,0.906437694
-0.175201699,0.917223981
-0.174249023,0.925067288
-0.173258051,0.939364894
-0.172269642,0.942971499
-0.171301082,0.953191193
-0.170293659,0.9630149
-0.169357702,0.972632784
-0.168422997,0.982135301
-0.167413473,0.991753768
-0.166435331,1.001290511
-0.165434539,1.010720152
-0.164422557,1.023282181
-0.163441017,1.030761749
-0.162435636,1.040959265
-0.161405876,1.051826403
-0.160453007,1.07746711
-0.159489095,1.072580228
-0.158483654,1.083785552
-0.157499641,1.097495086
-0.156517908,1.107197953
-0.155510962,1.11621886
-0.154520154,1.130208839
-0.15352799,1.136989333
-0.152513668,1.147730625
-0.151516706,1.158508705
-0.150529236,1.169627765
-0.14952445,1.180347521
-0.148556843,1.191288349
-0.147561833,1.202544896
-0.146551505,1.213930314
-0.145568982,1.224249019
-0.144592538,1.234791242
-0.143572375,1.246438362
-0.142547145,1.258917851
-0.141576007,1.269480679
-0.140584007,1.281152596
-0.139570177,1.292657922
-0.138596386,1.304490375
-0.13760072,1.317112474
-0.136618644,1.329246094
-0.135662973,1.338582602
-0.134652197,1.360131893
-0.133643359,1.362745417
-0.132672057,1.374101266
-0.131689936,1.386501594
-0.130657777,1.403431408
-0.129709214,1.422502683
-0.128699914,1.419561566
-0.127709553,1.433523954
-0.126756579,1.445451053
-0.125744,1.458095503
-0.124729365,1.47068582
-0.123748332,1.484319917
-0.122767009,1.497860416
-0.121785335,1.507728244
-0.120811298,1.523352112
-0.119804263,1.532545895
-0.118784286,1.544773346
-0.117839649,1.557300333
-0.116821237,1.570170978
-0.115811743,1.581626362
-0.114857972,1.599140815
-0.113859616,1.605827827
-0.112843044,1.618690672
-0.11183995,1.631655614
-0.110860966,1.645139069
-0.1098416,1.65572227
-0.108854078,1.668737619
-0.107867099,1.682305709
-0.106855072,1.695916173
-0.105893865,1.708225114
-0.104931951,1.720764441
-0.103921868,1.734076999
-0.102954425,1.747431583
-0.101959012,1.760473358
-0.100931555,1.779310289
-0.099929363,1.786463195
-0.09896151,1.896486501
-0.097945787,1.81230309
-0.096965805,1.827580854
-0.095982082,1.841424848
-0.094978236,1.85501622
-0.093966305,1.867909566
-0.093013026,1.888007624
-0.092015922,1.896442147
-0.091020666,1.908448641
-0.090051174,1.92110741
-0.089048974,1.933648717
-0.088059209,1.946725883
-0.0870637,1.960576279
-0.086069643,1.972900471
-0.085082725,1.997427782
-0.084085919,1.998850144
-0.083075084,2.015456324
-0.082051925,2.038537525
-0.08109425,2.037872327
-0.077923037,2.106172265
-0.072948374,2.194201807
-0.068018131,2.287070733
-0.063098729,2.382200211
-0.05812626,2.479431685
-0.053155247,2.57768482
-0.048220605,2.677985467
-0.043261282,2.780939918
-0.03831045,2.886175644
-0.033371564,2.991942922
-0.028430026,3.101591719
-0.023534006,3.235090524
-0.018568287,3.322172677
-0.013632145,3.433673643
-0.008669674,3.545960411
-0.00373813,3.660782939
0.001169582,3.777263919
0.006112268,3.90135264
0.011074988,4.01556585
0.016060842,4.140720703
0.02098614,4.258165136
0.025989981,4.380614031
0.030962493,4.504081327
0.035945449,4.629332107
0.040894181,4.755213391
0.045849159,4.88249585
0.050800089,5.008888897
0.055800185,5.13624819
0.060729928,5.265548825
0.065671965,5.396651104
0.070658818,5.528176203
0.075605899,5.658004899
0.080617435,5.789840128
0.085546881,5.922764074
0.090508305,6.057820749
0.095496006,6.193499546
0.100436598,6.558221299
0.105413057,6.482118275
0.110373124,6.612870842
0.115346782,6.747731008
0.120275289,6.889593322
0.125268534,7.0237373
0.130207479,7.161252666
0.135181129,7.313520648
0.140152708,7.43761519
0.145099193,7.57687958
0.150066957,7.718730718
0.155025333,7.859899662
0.159992844,8.017256856
0.164918289,8.153072558
0.169855237,8.282828145
0.174759239,8.422838524
0.179760441,8.56367033
0.184702381,8.71175807
0.189706862,8.849963546
0.194657192,8.995564654
0.199638844,9.141141549
0.204578936,9.276730008
0.209544018,9.421210736
0.21449554,9.667528793
0.219470203,9.783922695
0.224445164,9.857088327
0.229382545,10.00104472
0.234350368,10.14449075
0.239284128,10.28865762
0.244247839,10.42915322
0.249219954,10.57017781
0.254190624,10.71212906
0.259104013,10.85337251
0.264067233,10.99524368
0.268985748,11.13174856
0.273961753,11.26448531
0.278895766,11.397372
0.283865005,11.53280586
0.288839966,11.66835427
0.293797195,11.80152502
0.298730493,11.93233393
0.303692162,12.0679317
0.308622271,12.19085883
0.313566059,12.31818646
0.318515122,12.44333293
0.323431373,12.55590655
0.32835722,12.6832705
0.333311051,12.80548144
0.338205278,12.91580219
0.343191117,13.02320883
0.348143607,13.13389651
0.353111982,13.2434573
0.358059704,13.34602758
0.363019437,13.44901137
0.367971301,13.54944147
0.372950792,13.64611741
0.377886564,13.74009438
0.382880956,13.82693369
0.387851179,13.9141744
0.39278847,14.02050629
0.397795409,14.07876238
0.402737081,14.15891107
0.407713056,14.22449108
0.412650734,14.29209672
0.417633921,14.38152418
0.422588676,14.43428546
0.427566856,14.50408902
0.432524353,14.55184631
0.437493742,14.60383926
0.442427725,14.65364546
0.447388619,14.70360905
0.452366292,14.75476846
0.4573313,14.81349673
0.462278485,14.85097315
0.46722728,14.98729084
0.472184122,15.00667538
0.477154285,15.01451246
0.482120574,15.06388374
0.487103224,15.04579373
0.492044091,15.05909767
0.497011274,15.06298315
0.499653667,15.06192051
